citation_key,decision,confidence,reason
wiedemeier_walking_2025,exclude,0.97,本文に機械学習／ディープラーニングを中心とした手法の記述がなく、研究は人手によるデコンパイラ出力修正の実態調査であり、ML/DLが中核でないため（EX-IN1）。
giesen_poster_2025,exclude,0.9,抽象に機械学習／深層学習が中核である旨が記載されておらず、ML/DLが主要要素と判定できないため（EX-IN1）。
dramko_fast_2025,exclude,0.95,目的が神経デコンパイラの評価手法の提案であり、デコンパイルや可読性向上そのものではなく、出力も等価情報でコード生成を行わないため、EX-A（目的がデコンパイル/高級化でない）に該当する
soni_benchmarking_2025,exclude,0.98,ML/DLが中核でなく、デコンパイル手法のベンチマーク・評価が主目的であり、復元・高級化手法の提案ではないため除外
lerner_ideco_2025,exclude,0.95,手法がユーザー定義ルールの書き換えに基づくもので、ML/DL が主要要素ではないため（EX-IN1）
sirlanci_empirical_2025,exclude,0.99,ML/DLが中核でなく、ベンチマーク研究（EX-IN1・EX-C1）であるため除外
udeshi_remend_2025,include,0.9,変圧器ベースのニューラルデコンパイラが中心技術で、バイナリを入力として高級な数式表現（ソースに相当）を出力し、デコンパイル／可読性向上が主目的であるため
wong_decllm_2025,include,0.96,LLMを中核に用いた手法で、デコンパイル出力をコンパイル可能な高級コードへ修復することが主目的であり、入力はデコンパイラ出力、出力はCソースコードという範囲内であるため、すべてのIN条件を満たす。
lagouvardos_incredible_2025,exclude,0.96,本文は静的解析手法のみを用いたデコンパイラであり、機械学習／ディープラーニングが中心技術として記述されていないため、IN1を満たさず除外（EX-IN1）となります。
su_disco_2025,include,0.95,LLM（Deep Learning）を中心手法として、EVMバイトコードからSolidityソースコードへ変換することが主目的であり、入力はバイトコード、出力は高級言語コードという範囲内であるため、IN1・IN2・IN3 をすべて満たす。
chen_suigpt_2025,include,0.95,LLMが中心的に使用され、バイトコードからMove言語の高級ソースコードへ復元することが主目的であり、入力はバイナリ、出力は再コンパイル可能な高級コードで、除外基準に該当しないため。
cotroneo_can_2025,exclude,0.95,目的はバイナリ脆弱性予測であり、デコンパイルは手段に過ぎないため EX-A3（脆弱性検出が主目的）に該当します。
she_wadec_2024,include,0.95,LLMを中核にした手法で、Wasmバイナリを高級言語ソース/ASTへ復元するデコンパイルが主目的であり、入力・出力が基準範囲内のため採択
cao_evaluating_2024,exclude,0.98,本文はデコンパイラの評価・人間実験に関する研究であり、機械学習/深層学習を中心技術として用いていない（ML/DLが中核でないため）
eom_r2i_2024,exclude,0.96,ML/DLが研究の中核でなく、目的はデコンパイルコードの可読性指標の提案であり、デコンパイルや可読性向上（高級化）そのものが主目的ではないため
lu_understanding_2024,exclude,0.96,ML/DLが研究の中核になっておらず、デコンパイルバグの分析・テストフレームワークが主目的のため、IN1を満たさずEX-IN1で除外
armengol-estape_slade_2024,include,0.95,論文はTransformerを中心としたシーケンス‐ツー‐シーケンスモデルを用いてバイナリ/アセンブリから高級言語コードを生成し、可読性向上と正確なデコンパイルを目的としているため、IN1・IN2・IN3 をすべて満たす。
sisco_loop_2023,exclude,0.9,本文はクローン検出とプログラム合成を用いているが、機械学習・深層学習が主要手法として示されておらず、ML/DLが中核でないため除外（EX-IN1）
dramko_dire_2023,include,0.87,ML/DLが中心で変数名予測という可読性向上（高級化）を目的とし、入力はデコンパイラ出力、出力は変数名付きの擬似コード（擬似コードの修復）となっているため、全てのIN条件を満たす。
tan_splendid_2023,exclude,0.95,本文に機械学習・ディープラーニングが中心的手法として記載されておらず、ML/DLが主要要素でないため (EX-IN1)。
cao_boosting_2022,include,0.95,ML/DL（GNN・NMT）が提案手法の中核であり、目的は最適化バイナリのデコンパイル（高級言語コード生成）で、入力はバイナリ、出力は高級言語ソース／擬似コードであるため、全てのIN条件を満たす。
gregorio_e-apk_2022,exclude,0.92,ML/DLが研究の中心要素として用いられておらず、エネルギーパターン検出はルールベース的静的解析であり、デコンパイルは手段に過ぎないため（EX-IN1）。
grech_elipmoc_2022,exclude,0.96,本文は機械学習/ディープラーニングを中心とした手法ではなく、静的解析技術のみを用いたデコンパイラであり、IN1を満たさないため除外
gussoni_comb_2020,exclude,0.97,抽象では機械学習・ディープラーニングが使用されている旨がなく、手法はCFG再構築のアルゴリズムでありML/DLが中核でないため（EX-IN1）。
liu_how_2020,exclude,0.97,本文はCデコンパイラの正確性評価とバグ調査が主旨で、ML/DL手法は使用されていないため、IN1を満たさず除外（EX-A）となります。
jaffe_meaningful_2018,include,0.75,統計的機械翻訳という機械学習手法が中心で、目的はデコンパイルされたコードの変数名を自然なものに置き換えて可読性を高めること。入力はデコンパイラ出力、出力は意味のある変数名が付与された高級化コードで、全ての基準を満たす。
nandi_functional_2018,exclude,0.96,本文は機械学習/ディープラーニングを中核にしておらず、主目的はCAD用関数言語のコンパイルと逆コンパイルで、デコンパイル研究のML中心要件を満たさないため除外します。
botacin_revenge_2020,exclude,0.96,本文では機械学習／ディープラーニングが主要手法として言及されておらず、デコンパイルは人間アナリストの支援とGDB拡張によるリアルタイムIR生成に基づくため、IN1の条件を満たさない（EX‑IN1）
lacomis_dire_2020,include,0.86,ML/DL が中心で、デコンパイルされたコードの変数名を予測し可読性を向上させることが主目的。入力は decompiler 出力、出力は変数名（高級化の一部）で範囲内。
jang_kerberoid_2019,exclude,0.97,本文・概要に機械学習・深層学習が登場せず、デコンパイルは複数既存ツールの結果統合という手法であり、ML/DLが中核ではない（EX‑IN1）
grech_gigahorse_2019,exclude,0.95,論文は宣言的・論理ベースの手法でデコンパイルを実現しており、機械学習/深層学習が中核要素ではないため、IN1を満たさず除外対象（EX-IN1）です。
zhong_hardening_2025,exclude,0.96,目的がDNNバイナリの逆コンパイル防止・保護であり、デコンパイルや可読性向上が主目的ではないため除外
huang_recover_2025,exclude,0.82,摘要では機械学習／深層学習が主要手法として言及されておらず、確率的制約と既存デコンパイラの結果統合が中心の手法のため、ML/DLが中核ではない（EX‑IN1）。
pilgun_demo_2025,exclude,0.99,本文に機械学習/ディープラーニングの利用が示されておらず、ML/DLが研究の中核でないため（EX-IN1）。目的はコードカバレッジ情報の可視化であり、デコンパイルや高級化が主目的でもなく、MLベースの復元手法でもない。
wang_orcas_2025,exclude,0.97,主目的がバイナリコード類似性解析であり、デコンパイルや可読性向上（高級化）ではなく、スコープ外のタスクであるため。
altamura_assessing_2025,exclude,0.98,本文はML/DLを中核に用いた研究ではなく、目的もデコンパイルやコードの可読性向上ではなく、オブフュスケータの評価であるため、IN1が満たされずEX‑IN1で除外
sakamoto_toward_2025,exclude,0.95,MLは核心だが、目的はバイナリから構造体メンバの型・役割を推測することで、ソースコードや擬似コードの復元・高級化ではなく、出力は特徴情報（型推論結果）に留まるため、IN2・IN3を満たさずEX-B3に該当する。
magin_towards_2025,exclude,0.96,本文に機械学習・深層学習が中核技術として使用されている記述がなく、IN1を満たさないため除外（EX-IN1）。
dallaglio_highliner_2025,exclude,0.96,目的がインライン関数検出という識別タスクであり、ソースコード復元や可読性向上が主目的ではない（EX-A1）。出力も命令レベルのラベルであり、ソース相当の復元や高級化には該当しない（EX-B3）。
chen_clearagent_2025,exclude,0.96,目的がバイナリ脆弱性検出であり、デコンパイルや可読性向上が主目的ではないため（EX-A3）。
liu_function_2025,exclude,0.92,MLは中心だが、出力が関数名というラベルであり、ソースコードや擬似コードへの高級化・復元ではないため EX-B3 に該当し除外
blazquez_practical_2025,exclude,0.96,ML/DL が研究の中核でなく、目的もデコンパイルや可読性向上ではなく保護手法の分類・分析であるため、IN1・IN2 を満たさず EX-IN1 に該当
nguyen_automating_2025,exclude,0.98,本文はML/DLを中心とした手法もデコンパイル・可読性向上を目的とした研究も示さず、EUのコンフォーマンス評価自動化が目的であるため、IN1・IN2を満たさずEX-IN1に該当します。
alecci_toward_2025,exclude,0.95,目的がGDPRコンプライアンス検証であり、デコンパイルや可読性向上が主目的ではない（EX-A3）
liu_keenhash_2025,exclude,0.95,目的がバイナリコード類似性解析であり、デコンパイルや可読性向上（高級化）ではないため
sun_fire_2025,exclude,0.95,主目的がバイトコードの関数識別であり、デコンパイルや可読性向上が目的ではないため（EX-A1）
zhu_misum_2025,exclude,0.96,目的がバイナリコードのテキスト要約生成であり、デコンパイルや可読性向上ではなく要約タスク（EX-A4）に該当するため
jin_ccci_2025,exclude,0.96,ML/DLは中心だが、主目的はコード補完（コード生成）であり、バイナリから高級言語へのデコンパイルや可読性向上ではないため、EX-A（目的がデコンパイル／可読性向上でない）に該当する。
santos_detecting_2025,exclude,0.96,ML/DLが中核でなく、目的はリソースリーク検出・修正でデコンパイルや可読性向上ではないため、IN1未達成かつEX-Aに該当します。
ferreira_transpilejs_2025,exclude,0.95,ML/DLが中核技術でなく、目的はJavaScriptからWebAssemblyへのトランスパイルであり、デコンパイルや可読性向上ではないため、EX-IN1で除外
he_benchmarking_2025,exclude,0.95,目的がAndroidマルウェア解析とLLMのベンチマークであり、デコンパイルや可読性向上が主目的ではないため（EX-A）
zhou_regraph_2025,exclude,0.96,目的がバイナリ類似性の同定であり、デコンパイルや可読性向上が主目的ではないため（EX-A）。
chen_ponzihunter_2025,exclude,0.96,目的がPonzi契約の検出であり、デコンパイルや可読性向上が主目的ではないため（EX-A3に該当）
mudraje_reverse_2025,exclude,0.96,本文には機械学習／ディープラーニングを中心とした手法の記述がなく、目的はエネルギー消費の最悪ケース解析のためのドライバ逆コンパイルであり、デコンパイルや可読性向上が主目的ではないため（EX‑IN1）。
