citation_key,decision,confidence,reason
wiedemeier_walking_2025,exclude,0.96,本文は機械学習・深層学習を用いた手法を提示せず、デコンパイル結果の人間による修正・調査を中心とした実証研究であり、ML/DLが核心でないため IN1 を満たさず、EX-C1（手法の新規提案がなく評価中心）に該当する。
giesen_poster_2025,exclude,0.86,Abstractに機械学習／ディープラーニングを用いる旨が記載されておらず、IN1を満たさないため除外
dramko_fast_2025,exclude,0.92,主目的がニューラルデコンパイラの評価手法（等価性チェック）の提案であり、デコンパイルによるソース復元や擬似コードの高級化ではないため、EX-A3（評価・検証）に該当します。
soni_benchmarking_2025,exclude,0.95,ML/DL が主たる手法として使われておらず、デコンパイル手法の比較ベンチマークが主目的（EX-C1）
lerner_ideco_2025,exclude,0.85,抽象ではML/DLが主要手法と明示されておらず、ルールベースのリライトが中心であるため、IN1（ML/DLを中核に使用）を満たさない。
sirlanci_empirical_2025,exclude,0.96,本研究は C デコンパイラの性能評価とエラーベンチマークであり、機械学習・深層学習を用いた手法の提案はなく、ML/DL が中心要素でないため（EX-C1）。
udeshi_remend_2025,include,0.95,Transformerベースのニューラルデコンパイルを核心に用い、バイナリを入力として数式という高級表現（ソース相当）を生成することが主目的であり、入出力が条件IN3を満たすため、除外条件に該当しない。
wong_decllm_2025,include,0.96,LLMを中核に用いて、デコンパイラ出力をコンパイル可能な高級言語コードへ自動修正することが主目的であり、入力はデコンパイル結果、出力はCソースというスコープを満たすため。
lagouvardos_incredible_2025,exclude,0.96,論文は静的解析ベースのデコンパイラ手法であり、機械学習／深層学習を中核に用いていないため、IN1を満たさず除外
su_disco_2025,include,0.95,LLMを中核にEVMバイトコードからSolidityソースコードへの変換を目的としており、入力はバイナリ、出力は高級言語コードであるため、IN1・IN2・IN3 をすべて満たす。
chen_suigpt_2025,include,0.96,LLMを中核に用いたデコンパイルで、バイトコードを高級言語（Move）ソースコードへ変換することが主目的。入力はバイナリ、出力は再コンパイル可能なソースであり、除外条件に該当しない。
cotroneo_can_2025,exclude,0.96,論文の主目的はバイナリの脆弱性予測であり、デコンパイルはその予測のための前処理に過ぎない（EX-A3）。
she_wadec_2024,include,0.95,LLMを中核に用いてWasmバイナリを高級言語のソースコードへ復元することが主目的であり、入力はバイナリ、出力はソースコード（高級化）で、除外条件に該当しないため。
cao_evaluating_2024,exclude,0.98,本論文は既存デコンパイラの評価・比較が主目的であり、機械学習や深層学習を用いた新規デコンパイル手法の提案がないため、除外条件EX-C1（評価・整理中心）に該当する。
eom_r2i_2024,exclude,0.95,本稿はデコンパイルコードの可読性評価指標を提案するもので、ML/DL を用いた高級言語復元や擬似コード高級化が目的ではなく、デコンパイルは手段に過ぎない（EX-A）。
lu_understanding_2024,exclude,0.99,主目的がJavaデコンパイラのバグ分析であり、ML/DLを用いた復元手法の提案や評価がなく、デコンパイル自体は手段に過ぎないため
armengol-estape_slade_2024,include,0.97,Transformerベースの小規模言語モデルを用いてバイナリ/アセンブリから高級言語のソースコードを生成することが主目的であり、入力はバイナリ関数、出力は可読性の高いC等のコードであるため、IN1・IN2・IN3 をすべて満たす。
sisco_loop_2023,exclude,0.92,ML/DL が主要手法として示されておらず、対象がハードウェアのネットリストでありソフトウェアバイナリのデコンパイル範囲外（EX‑B4）
dramko_dire_2023,include,0.92,ML/DL（DIRE）を中心に用い、デコンパイル済みコードの変数名付与という高級コードの可読性向上（擬似コードの高級化）を主目的としており、入力はデコンパイラ出力、出力は高級言語レベルのコード（変数名が付与された）なので、IN1・IN2・IN3 を満たす。
tan_splendid_2023,exclude,0.96,Abstractに機械学習や深層学習の利用が示されておらず、IN1（ML/DLを中核に使用）が満たされないため除外（EX-C1）
cao_boosting_2022,include,0.95,論文はGNNを用いたニューラルデコンパイラで、機械学習が中心手法であり、バイナリを入力としてC/C++等の高級言語コードを生成することを主目的としているため、IN1・IN2・IN3 をすべて満たす。除外条件にも該当しない。
gregorio_e-apk_2022,exclude,0.94,論文の主目的はエネルギーパターンの検出であり、デコンパイルは解析の前処理として用いられているだけ。高級言語ソースや擬似コードの復元・高級化が目的ではないため、除外基準EX-Aに該当する。
grech_elipmoc_2022,exclude,0.95,本文抜粋に機械学習／ディープラーニングに関する記述がなく、ML/DLが主要手法として用いられていないため（IN1未達成）。デコンパイル自体は行っているが、スクリーニング基準のIN1を満たさない。
gussoni_comb_2020,exclude,0.95,本文からは機械学習・深層学習を使用している記述がなく、デコンパイル手法はルールベースのアルゴリズムです。IN1を満たさないため除外と判断しました。
liu_how_2020,exclude,0.96,抽象に機械学習・深層学習の利用が示されず、MLベースの復元手法の提案・評価ではなく、既存Cデコンパイラの正確性調査のみであるため除外（EX-C1）
