citation_key,decision,confidence,reason
Ahmed2021,include,0.72,機械学習を用いて最適化済みバイナリからライブラリ関数の使用を復元するデコンパイル関連の研究。入力はバイナリ/アセンブリで、出力は高級言語表現または可読性向上したデコンパイル結果を目指す。Ghidraなどのデコンパイラと併用。
Al-Kaswan2023,exclude,0.65,本論文はデコンパイルバイナリの要約（summarisation）を主題としており、除外条件の 'summarization' に該当するため。
Arasteh2025,exclude,0.72,デコンパイル関連だが、出力はソースコードやデコンパイル擬似コードの修復・高級化ではなく、モジュール識別と自然言語による説明付与（要約/検索寄りのタスク）に近く、除外条件に該当するため。
Armengol-Estapé2022,exclude,0.75,デコンパイル研究の条件を満たしていません。入力が高級言語(C)で出力がアセンブリ(x86)となっており、デコンパイル/ソースコード復元タスク（binary/assembly/decompiler outputを入力として高級言語ソースまたは読解性向上の擬似コードを出力）に該当しません。
Armengol-Estapé2024,include,0.82,機械学習/深層学習を用い、デコンパイル/ソースコード復元を扱う論文。最適化済みアセンブリから高級言語コードへ復元するデコンパイラを提案・評価している。
Arranz-Olmos2025,exclude,0.72,機械学習/深層学習を使用していない。デコンパイラを用いたバイナリから高水準表現への変換とCT分析に関する研究だが、ML/DLの適用は明示されていない。
Banerjee2021,include,0.85,機械学習/深層学習を用い、デコンパイル出力から変数名を復元するデコンパイル研究であり、出力は高級言語の読解性を向上させる変数名復元（デコンパイル後のコードの修復/高級化）である。
Bielik2020,exclude,0.62,本論文はコードタスクの敵対的ロバストネスを扱う研究であり、デコンパイル/ソース復元の入出力（バイナリ→ソース、デコンパイラ出力の高級言語化など）を実際に行う内容には見えない。デコンパイルを含む領域として言及はあるが、デコンパイルタスクを中心に扱っていない。
Bu2025,exclude,0.78,本論文はスマートコントラクトのバイトコードからの脆弱性検出を扱い、デコンパイル/ソースコード復元の出力を提供していない。除外条件の脆弱性検出タスクに該当。
Butz2020,exclude,0.6,本論文は SPN を BN にデコンパイルする手法を提案しているが、入力がバイナリ/アセンブリ/デコンパイラ出力に限定されるデコンパイル研究の条件を満たしていない。コード復元・ソース化には該当せず除外。
