citation_key,decision,confidence,reason
arXiv:2204.08393,exclude,1.0,機械学習や深層学習を使用しておらず、デコンパイルやバイナリ→ソースコード変換に関する内容ではないため。
arXiv:2112.14765,exclude,1.0,この論文は量子場理論に関するものであり、機械学習や深層学習を使用していないため、採択条件を満たしていません。
arXiv:2012.15860,exclude,1.0,論文は物理学に関するものであり、機械学習や深層学習を使用していないため。
arXiv:2106.16248,exclude,0.9,論文は量子物理学に関するものであり、機械学習や深層学習を使用していないため、採択条件を満たしていない。
arXiv:2512.24296,exclude,1.0,論文は量子熱力学に関するものであり、機械学習や深層学習を使用していないため、採択条件を満たしていない。
arXiv:2507.04931,include,0.9,機械学習（大規模言語モデル）を使用しており、デコンパイルまたはバイナリからソースコードへの変換を扱っているため、採択条件を満たしている。
arXiv:2304.04658,include,1.0,機械学習/深層学習を使用しており、バイナリとソースコードのマッチングを扱っているため、採択条件を満たしている。
arXiv:1809.04193,exclude,0.9,論文はデコンパイルやバイナリからソースコードへの変換を扱っているが、機械学習や深層学習の使用が明示されていないため除外する。
arXiv:2505.07360,include,0.9,論文は機械学習を使用しており、デコンパイルを扱っているため、採択条件を満たしている。
arXiv:2304.09842,exclude,0.9,論文は機械学習/深層学習を使用しているが、デコンパイルやバイナリ→ソースコード変換を扱っていないため除外される。
arXiv:2501.09201,exclude,0.9,逆アセンブルやバイナリからソースコードへの変換を扱っていないため、除外条件に該当する。
arXiv:2405.20611,include,0.95,機械学習を使用しており、デコンパイルまたはバイナリからソースコードへの変換を扱っているため、採択条件を満たしている。
arXiv:2509.14646,include,1.0,論文は機械学習/深層学習を使用しており、バイナリからソースコードへのデコンパイルを扱っているため、採択条件を満たしています。
arXiv:2501.19259,exclude,0.9,論文は機械学習や深層学習を使用しているが、デコンパイルやバイナリからソースコードへの変換を扱っていないため。
arXiv:2506.18240,exclude,0.9,論文は量子ニューラルネットワークに関するものであり、デコンパイルやバイナリからソースコードへの変換を扱っていないため。
arXiv:2304.12866,exclude,0.9,論文は機械学習を扱っているが、デコンパイルやバイナリからソースコードへの変換を扱っていないため除外される。
arXiv:2201.07420,include,1.0,機械学習/深層学習を使用しており、デコンパイルまたはバイナリからソースコードへの変換を扱っているため。
arXiv:2401.11161,include,1.0,機械学習を使用しており、デコンパイルまたはバイナリからソースコードへの変換を扱っているため、採択条件を満たしている。
arXiv:2412.20992,include,0.9,機械学習/深層学習を使用しており、デコンパイルやバイナリからソースコードへの変換を扱っているため、採択条件を満たしている。
arXiv:1910.11717,exclude,0.9,論文はラムダリフティングに関するものであり、機械学習や深層学習を使用していないため、採択条件を満たしていない。
arXiv:2304.01102,include,0.9,機械学習/深層学習を使用しており、デコンパイルまたはバイナリ→ソースコード変換を扱っているため。
arXiv:2506.10125,include,0.95,機械学習/深層学習を使用しており、デコンパイルおよびバイナリからソースコードへの変換を扱っているため、採択条件を満たしている。
arXiv:2511.05791,exclude,0.9,論文は機械学習/深層学習を使用しているが、デコンパイルやバイナリ→ソースコード変換を扱っていないため除外。
arXiv:2507.14570,exclude,1.0,論文はグラフニューラルネットワークに関するものであり、デコンパイルやバイナリからソースコードへの変換を扱っていないため。
arXiv:2601.05772,include,0.9,機械学習を使用しており、バイナリからのソースコード復元に関連するセキュリティパッチ検出を扱っているため、採択条件を満たしている。
arXiv:2101.08116,include,1.0,機械学習を使用してデコンパイルにおけるソースコード復元の精度を向上させる内容であり、採択条件を満たしているため。
arXiv:2507.10624,exclude,0.9,論文は大規模言語モデルの限界についての分析であり、機械学習や深層学習を使用しているが、デコンパイルやバイナリからソースコードへの変換を扱っていないため。
arXiv:2405.19581,include,0.9,機械学習を使用しており、バイナリからソースコードへの変換を扱っているため、採択条件を満たしている。
arXiv:2108.07639,include,0.9,機械学習を使用しており、Cコードからx86アセンブラへの変換を扱っているため、採択条件を満たしている。
arXiv:2404.18249,exclude,0.9,逆アセンブルのみの内容ではなく、デコンパイルやソースコード変換を扱っているが、機械学習/深層学習の使用が明示されていないため除外と判断した。
arXiv:2105.05159,include,0.9,機械学習/深層学習の使用は明示されていないが、デコンパイルされたバイナリの検証を扱っており、ソースコード復元に関連する内容が含まれているため、採択条件を満たす可能性が高い。
arXiv:2302.08760,exclude,0.9,論文は3Dヒューマンポーズのリフティングに関するものであり、機械学習を使用しているが、デコンパイルやバイナリ→ソースコード変換を扱っていないため除外される。
arXiv:1910.10398,exclude,0.9,論文は3Dセグメンテーションに関するものであり、機械学習を使用しているが、デコンパイルやバイナリ→ソースコード変換を扱っていないため除外される。
arXiv:2505.04852,include,0.9,機械学習を使用しており、CからRustへのソースコード変換を扱っているため、採択条件を満たしている。
arXiv:2509.24507,exclude,0.9,論文は機械学習を使用しているが、デコンパイルやバイナリ→ソースコード変換を扱っていないため除外される。
arXiv:2103.05221,include,0.9,機械学習を使用して最適化されたバイナリから関数呼び出しを回復する問題を扱っており、デコンパイルに関連しているため。
arXiv:1802.07119,exclude,0.9,論文は機械学習を使用しているが、デコンパイルやバイナリ→ソースコード変換を扱っていないため除外される。
arXiv:2212.09239,exclude,0.9,論文は非対話型ソースシミュレーションに関するものであり、機械学習や深層学習を使用していないため。
arXiv:2308.04838,exclude,0.9,論文はコード生成に関するものであるが、機械学習/深層学習を使用しているかどうかが明確でなく、デコンパイルやバイナリ→ソースコード変換を扱っていないため。
arXiv:2503.23748,include,0.9,機械学習/深層学習を使用しており、デコンパイルまたはバイナリ→ソースコード変換を扱っているため、採択条件を満たしている。
arXiv:2404.16041,include,1.0,機械学習を使用しており、デコンパイルまたはバイナリからソースコードへの変換を扱っているため、採択条件を満たしている。
