citation_key,decision,confidence,reason
Ahmed2021,exclude,0.95,目的は最適化バイナリ中のライブラリ関数呼び出しを検出・復元することで、主に関数識別タスクに該当し、出力はコードではなく関数使用情報です。MLは使用されるが、デコンパイルによる高級言語コード生成が主目的ではなく、EX-A1（識別）が支配的です。
Al-Kaswan2023,exclude,0.96,論文は逆コンパイルされたバイナリ関数の要約（自然言語ドキュメント）生成を目的としており、出力はソースコードや擬似コードの復元・高級化ではなく要約であるため、除外基準 EX‑A4 に該当する。
Arasteh2025,exclude,0.95,デコンパイルはモジュール識別や自然言語記述付与の前処理にすぎず、主目的はバイナリからモジュールを検索・取得することなので、EX-A2（検索・類似性）に該当するため除外します。
Armengol-Estapé2022,exclude,0.95,目的がCコードからx86アセンブリへのコンパイル生成であり、バイナリから高級言語への復元・高級化（デコンパイル）が主目的ではないため
Armengol-Estapé2024,include,0.95,本文はTransformerベースのシーケンス‑ツー‑シーケンスモデルを中心に使用し、最適化されたアセンブリから高可読性かつ正確な高級言語コードを生成することを主目的としている。入力はアセンブリ、出力は高級言語のソース/擬似コードであり、全てのIN条件を満たすため採択とする。
Arranz-Olmos2025,exclude,0.95,本文に機械学習・深層学習が主要手法として記述されておらず、目的は定時性（CT）検証であり、デコンパイルは分析の前処理に過ぎないため除外
Banerjee2021,include,0.95,ML/DL（Transformer/BERT）を中核に用い、デコンパイラ出力を入力として変数名を予測し、擬似コードをソースに近い形に高級化することが主目的であるため、IN1・IN2・IN3 をすべて満たす。
Bielik2020,exclude,0.95,目的はコードモデルの逆設定（adversarial robustness）の研究であり、デコンパイルやソース復元は副次的記述にすぎないため、EX-A3（脆弱性・ロバスト性研究）が該当し除外
Bu2025,exclude,0.96,目的がバイトコードからの脆弱性検出であり、デコンパイルは前処理に過ぎないため除外 (EX-A3)。
Butz2020,exclude,0.96,対象がバイナリ/アセンブリではなく、確率モデル（SPN）からベイジアンネットワークへの変換であり、コード復元や高級言語ソースの生成を目的としないためスコープ外 (EX-B4)。
Cao2023,include,0.95,Transformer を用いた変数型・名前の復元で、デコンパイラ出力を入力とし高級コードへ変換することが主目的であり、ML/DL が中心手法で入力‑出力ともにスコープに合致するため。
Cao2023,include,0.97,GNNベースのニューラルモデルを中心に用いて、最適化バイナリを高級言語（C/C++）へ変換することを主目的としている。入力はバイナリ、出力は高級ソースコードであり、除外条件に該当しないため採択。
Chakraborty2020,exclude,0.98,本文は機械学習／ディープラーニングを用いていないため、IN1（ML/DL が中核）を満たさず除外
Chawla2026,exclude,0.96,デコンパイルは分類パイプラインの前処理に過ぎず、主目的はマルウェア検出（分類）であり、ソースコード復元や擬似コード高級化ではない（EX‑A3）。
Chen2021,include,0.9,ML/深層学習を中心に、既存デコンパイラ出力を入力として高級言語ソースの変数名・型を復元・高度化する手法を提案しているため、IN1・IN2・IN3 を満たす。
Chen2025,exclude,0.92,目的が関数名復元や型推定といった識別タスクであり、ソースコードや擬似コードの高級化・復元が主目的ではないため（EX-A1）。
Chen2025,include,0.95,LLMを中核に用いたデコンパイルで、バイトコードから再コンパイル可能な高級ソースコードを生成することが主目的であり、入力はバイナリ、出力は高級言語コードであり、除外条件に該当しないため。
Chu2018,exclude,0.96,目的はIoT玩具の脆弱性評価で、デコンパイルは分析手段に過ぎず、復元・高級化が主目的ではない（EX-A3）
Chukkol2024,exclude,0.95,EX-A3: 研究の主目的はバイナリ脆弱性検出であり、デコンパイルは特徴抽出の前処理に過ぎず、復元・高級化が目的ではないため除外する。
Cotroneo2025,exclude,0.96,主目的はバイナリの脆弱性予測であり、デコンパイルは予測の前処理として用いられるため、EX‑A3（脆弱性検出が主目的）に該当します。
Cristea2025,exclude,0.96,デコンパイルは手段に過ぎず、主目的はマルウェア検出とCVE関連付け（脆弱性・アソシエーション）であり、EX‑A3に該当するため除外
David2025,include,0.96,LLMを中核に用いたバイトコードからSolidityソースへの変換が主目的であり、入力はバイナリ、出力は高級言語ソースコードで、除外条件に該当しないため。
